,0
0,Dreams & Nightmares Case
1,Fracture Case
2,Revolution Case
3,Paris 2023 Contenders Sticker Capsule
4,Snakebite Case
5,Operation Breakout Weapon Case
6,Recoil Case
7,Danger Zone Case
8,Prisma 2 Case
9,Glove Case
10,Paris 2023 Legends Sticker Capsule
11,Chroma 3 Case
12,Gamma 2 Case
13,Chroma 2 Case
14,Spectrum 2 Case
15,Clutch Case
16,Revolver Case
17,Gamma Case
18,Prisma Case
19,Anubis Collection Package
20,Spectrum Case
21,Operation Phoenix Weapon Case
22,Chroma Case
23,Horizon Case
24,CS:GO Weapon Case
25,Paris 2023 Challengers Sticker Capsule
26,"Music Kit | Perfect World, 花脸 Hua Lian (Painted Face)"
27,AUG | Contractor (Field-Tested)
28,CS20 Case
29,Paris 2023 Challengers Autograph Capsule
30,Paris 2023 Mirage Souvenir Package
31,Shadow Case
32,Operation Wildfire Case
33,AK-47 | Ice Coaled (Field-Tested)
34,AK-47 | Slate (Field-Tested)
35,Paris 2023 Contenders Autograph Capsule
36,Desert Eagle | Printstream (Field-Tested)
37,Operation Bravo Case
38,AWP | Chromatic Aberration (Field-Tested)
39,AK-47 | Slate (Minimal Wear)
40,AWP | Duality (Field-Tested)
41,Glock-18 | Vogue (Field-Tested)
42,AK-47 | Phantom Disruptor (Field-Tested)
43,USP-S | Printstream (Battle-Scarred)
44,AK-47 | Nightwish (Field-Tested)
45,AK-47 | Nightwish (Battle-Scarred)
46,USP-S | Cortex (Field-Tested)
47,Sticker | MOUZ (Gold) | Paris 2023
48,AK-47 | Head Shot (Field-Tested)
49,M4A4 | The Emperor (Battle-Scarred)
50,AWP | Atheris (Field-Tested)
51,AWP | Asiimov (Field-Tested)
52,Falchion Case
53,AK-47 | Redline (Field-Tested)
54,Sticker | FURIA (Holo) | Paris 2023
55,M4A1-S | Night Terror (Field-Tested)
56,Desert Eagle | Mecha Industries (Field-Tested)
57,AK-47 | Slate (Well-Worn)
58,AK-47 | Frontside Misty (Field-Tested)
59,AWP | Neo-Noir (Field-Tested)
60,Nova | Sand Dune (Factory New)
61,Operation Broken Fang Case
62,AK-47 | Asiimov (Field-Tested)
63,AK-47 | Neon Revolution (Field-Tested)
64,AK-47 | Legion of Anubis (Minimal Wear)
65,USP-S | Kill Confirmed (Battle-Scarred)
66,AK-47 | Legion of Anubis (Field-Tested)
67,★ Shadow Daggers | Rust Coat (Battle-Scarred)
68,MAG-7 | Foresight (Minimal Wear)
69,AK-47 | Head Shot (Battle-Scarred)
70,USP-S | Printstream (Field-Tested)
71,M4A1-S | Nightmare (Field-Tested)
72,Operation Riptide Case
73,AK-47 | The Empress (Well-Worn)
74,M4A4 | Temukau (Battle-Scarred)
75,Paris 2023 Legends Autograph Capsule
76,AK-47 | Ice Coaled (Minimal Wear)
77,Huntsman Weapon Case
78,SSG 08 | Acid Fade (Factory New)
79,AWP | Chromatic Aberration (Battle-Scarred)
80,Sticker | G2 Esports (Holo) | Stockholm 2021
81,StatTrak™ AK-47 | Ice Coaled (Field-Tested)
82,P90 | Cold Blooded (Factory New)
83,USP-S | Neo-Noir (Battle-Scarred)
84,Sticker | MOUZ (Holo) | Paris 2023
85,M4A1-S | Decimator (Minimal Wear)
86,Operation Hydra Case
87,AK-47 | Elite Build (Field-Tested)
88,Blackwolf | Sabre
89,AWP | Mortis (Field-Tested)
90,Desert Eagle | Mecha Industries (Minimal Wear)
91,AK-47 | The Empress (Field-Tested)
92,M4A1-S | Emphorosaur-S (Field-Tested)
93,USP-S | The Traitor (Battle-Scarred)
94,M4A4 | Neo-Noir (Field-Tested)
95,AK-47 | Frontside Misty (Battle-Scarred)
96,Sticker | Apeks (Holo) | Paris 2023
97,AK-47 | Nightwish (Minimal Wear)
98,Dual Berettas | Melondrama (Field-Tested)
99,Sticker | MOUZ (Glitter) | Paris 2023
100,AWP | Atheris (Well-Worn)
101,AWP | Atheris (Minimal Wear)
102,AK-47 | Slate (Battle-Scarred)
103,'The Doctor' Romanov | Sabre
104,M4A1-S | Night Terror (Minimal Wear)
105,AK-47 | Elite Build (Well-Worn)
106,Operation Hydra Case Key
107,Seal Team 6 Soldier | NSWC SEAL
108,AWP | Chromatic Aberration (Minimal Wear)
109,M4A1-S | Nitro (Field-Tested)
110,USP-S | Cyrex (Field-Tested)
111,M4A4 | Desolate Space (Field-Tested)
112,USP-S | Cortex (Minimal Wear)
113,M4A1-S | Cyrex (Minimal Wear)
114,Bloody Darryl The Strapped | The Professionals
115,Michael Syfers  | FBI Sniper
116,Sticker | Bad News Eagles (Glitter) | Antwerp 2022
117,M4A1-S | Leaded Glass (Field-Tested)
118,Shattered Web Case
119,★ Hydra Gloves | Mangrove (Field-Tested)
120,MAC-10 | Sakkaku (Field-Tested)
121,Sticker | Fluxo (Holo) | Paris 2023
122,Paris 2023 Champions Autograph Capsule
123,USP-S | Ticket to Hell (Minimal Wear)
124,UMP-45 | Gold Bismuth (Field-Tested)
125,Rio 2022 Legends Sticker Capsule
126,M4A1-S | Nitro (Minimal Wear)
127,AK-47 | The Empress (Minimal Wear)
128,AK-47 | Safety Net (Field-Tested)
129,Desert Eagle | Trigger Discipline (Minimal Wear)
130,Buckshot | NSWC SEAL
131,Operator | FBI SWAT
132,Operation Vanguard Weapon Case
133,USP-S | Cortex (Well-Worn)
134,CS:GO Weapon Case 3
135,Sir Bloody Silent Darryl | The Professionals
136,AWP | Duality (Minimal Wear)
137,USP-S | Ticket to Hell (Field-Tested)
138,AK-47 | Elite Build (Minimal Wear)
139,Rezan The Ready | Sabre
140,AWP | Neo-Noir (Factory New)
141,AK-47 | Neon Rider (Field-Tested)
142,MP9 | Food Chain (Field-Tested)
143,M4A1-S | Night Terror (Battle-Scarred)
144,Sticker Capsule 2
145,AK-47 | Aquamarine Revenge (Battle-Scarred)
146,Rio 2022 Contenders Sticker Capsule
147,USP-S | The Traitor (Well-Worn)
148,AWP | Duality (Battle-Scarred)
149,Dual Berettas | Urban Shock (Field-Tested)
150,AWP | Atheris (Well-Worn)
151,AWP | Atheris (Minimal Wear)
152,AK-47 | Slate (Battle-Scarred)
153,'The Doctor' Romanov | Sabre
154,M4A1-S | Night Terror (Minimal Wear)
155,AK-47 | Elite Build (Well-Worn)
156,Operation Hydra Case Key
157,Seal Team 6 Soldier | NSWC SEAL
158,AWP | Chromatic Aberration (Minimal Wear)
159,M4A1-S | Nitro (Field-Tested)
160,USP-S | Cyrex (Field-Tested)
161,M4A4 | Desolate Space (Field-Tested)
162,USP-S | Cortex (Minimal Wear)
163,M4A1-S | Cyrex (Minimal Wear)
164,Bloody Darryl The Strapped | The Professionals
165,Michael Syfers  | FBI Sniper
166,Sticker | Bad News Eagles (Glitter) | Antwerp 2022
167,M4A1-S | Leaded Glass (Field-Tested)
168,Shattered Web Case
169,★ Hydra Gloves | Mangrove (Field-Tested)
170,MAC-10 | Sakkaku (Field-Tested)
171,Sticker | Fluxo (Holo) | Paris 2023
172,Paris 2023 Champions Autograph Capsule
173,USP-S | Ticket to Hell (Minimal Wear)
174,UMP-45 | Gold Bismuth (Field-Tested)
175,Rio 2022 Legends Sticker Capsule
176,M4A1-S | Nitro (Minimal Wear)
177,AK-47 | The Empress (Minimal Wear)
178,AK-47 | Safety Net (Field-Tested)
179,Desert Eagle | Trigger Discipline (Minimal Wear)
180,Buckshot | NSWC SEAL
181,Operator | FBI SWAT
182,Operation Vanguard Weapon Case
183,USP-S | Cortex (Well-Worn)
184,CS:GO Weapon Case 3
185,Sir Bloody Silent Darryl | The Professionals
186,AWP | Duality (Minimal Wear)
187,USP-S | Ticket to Hell (Field-Tested)
188,AK-47 | Elite Build (Minimal Wear)
189,Rezan The Ready | Sabre
190,AWP | Neo-Noir (Factory New)
191,AK-47 | Neon Rider (Field-Tested)
192,MP9 | Food Chain (Field-Tested)
193,M4A1-S | Night Terror (Battle-Scarred)
194,Sticker Capsule 2
195,AK-47 | Aquamarine Revenge (Battle-Scarred)
196,Rio 2022 Contenders Sticker Capsule
197,USP-S | The Traitor (Well-Worn)
198,AWP | Duality (Battle-Scarred)
199,Dual Berettas | Urban Shock (Field-Tested)
200,AK-47 | Uncharted (Field-Tested)
201,M4A4 | Evil Daimyo (Field-Tested)
202,Glock-18 | High Beam (Factory New)
203,M4A4 | Tooth Fairy (Field-Tested)
204,Sticker | FaZe Clan (Holo) | Paris 2023
205,M4A1-S | Emphorosaur-S (Minimal Wear)
206,AWP | Black Nile (Field-Tested)
207,Antwerp 2022 Challengers Sticker Capsule
208,StatTrak™ AK-47 | Slate (Well-Worn)
209,Desert Eagle | Light Rail (Field-Tested)
210,AWP | Worm God (Field-Tested)
211,Elite Trapper Solman | Guerrilla Warfare
